reciepts,date
4944,1/3/03
6957,1/4/03
4472,1/5/03
1691,1/6/03
1865,1/7/03
1855,1/8/03
1908,1/9/03
4544,1/10/03
6892,1/11/03
4282,1/12/03
1448,1/13/03
1771,1/14/03
1680,1/15/03
1760,1/16/03
3539,1/17/03
5871,1/18/03
4120,1/19/03
3845,1/20/03
1709,1/21/03
1548,1/22/03
1661,1/23/03
4141,1/24/03
6221,1/25/03
2757,1/26/03
1123,1/27/03
1354,1/28/03
1299,1/29/03
1385,1/30/03
3149,1/31/03
5056,2/1/03
3146,2/2/03
774,2/3/03
1026,2/4/03
1019,2/5/03
1010,2/6/03
1606,2/7/03
2719,2/8/03
1540,2/9/03
412,2/10/03
606,2/11/03
647,2/12/03
652,2/13/03
1762,2/14/03
2280,2/15/03
1548,2/16/03
791,2/17/03
492,2/18/03
434,2/19/03
475,2/20/03
1092,2/21/03
1561,2/22/03
898,2/23/03
248,2/24/03
332,2/25/03
307,2/26/03
332,2/27/03
898,2/28/03
1508,3/1/03
811,3/2/03
261,3/3/03
317,3/4/03
277,3/5/03
284,3/6/03
691,3/7/03
1199,3/8/03
743,3/9/03
296,3/10/03
346,3/11/03
329,3/12/03
317,3/13/03
767,3/14/03
1236,3/15/03
745,3/16/03
243,3/17/03
327,3/18/03
294,3/19/03
296,3/20/03
698,3/21/03
1142,3/22/03
585,3/23/03
326,3/24/03
363,3/25/03
331,3/26/03
343,3/27/03
764,3/28/03
1218,3/29/03
687,3/30/03
207,3/31/03
224,4/1/03
207,4/2/03
204,4/3/03
614,4/4/03
1012,4/5/03
529,4/6/03
149,4/7/03
189,4/8/03
185,4/9/03
185,4/10/03
459,4/11/03
722,4/12/03
351,4/13/03
139,4/14/03
158,4/15/03
159,4/16/03
196,4/17/03
510,4/18/03